rot_x	rot_y	rot_z	trans_x	trans_y	trans_z	framewise_displacement
0.00140584	-0.000956306	9.54632e-05	-0.00242552	0.0107195	-0.0824894	0.158241338
0.00129014	-0.00126332	0.0	-0.0204373	0.0856115999999999	-0.0386512	0.16265093999999994
0.00132977	-0.00163247	0.0	-0.0296136	0.0479182	-0.0395111	0.06816859999999991
0.00123761	-0.00163247	0.0	-0.0357367	0.0439958	-0.0590731	0.0342155
0.000994498	-0.00163247	0.000199306	-0.026565	0.0399912	-0.0789765	0.055200600000000016
0.00103717	-0.00133213	5.5957e-05	-0.0229311	0.044004	-0.0789787	0.03196695000000001
0.0010859	-0.00141175	-3.84646e-05	-0.0285154	0.0648656	-0.0931073	0.05171308000000001
0.00139897	-0.00100605	-7.501959999999998e-05	-0.0229052	0.0462959	-0.096885	0.06572384999999999
0.000904661	-0.00108085	9.08721e-05	-0.0203305	0.0445717	-0.10061	0.04477393500000001
0.000961477	-0.000996946	-1.23853e-05	-0.0229179	0.064904	-0.114535	0.04904356999999999
0.00098872	-0.000923025	3.66365e-06	-0.0129307	0.046449	-0.0982002	0.05063764750000001
0.00101393	-0.00093172	-2.62939e-05	-0.0229105	0.0659779	-0.109124	0.043625627500000014
0.0007618199999999	-0.00120973	-3.17845e-05	-0.0129338	0.0464081	-0.0987452	0.06670583000000499
0.000972183	-0.000978116	-2.70896e-05	-0.0129181	0.0643739	-0.100403	0.041972895000005
0.000818977	-0.00114139	-6.37328e-05	-0.0129398	0.0665448	-0.103352	0.022797759999999993
0.00110114	-0.000783533	3.6811e-05	-0.0128756	0.0826473	-0.113567	0.06340989000000001
0.00146909	-0.00115359	3.6811e-05	-0.0163873	0.0344364	-0.103224	0.09896595
0.00150454	-0.00069716	3.6811e-05	0.00424853	0.0457367	-0.0906259	0.06912823
0.0018333	-0.000743844	3.6811e-05	-0.0125801	0.050845	-0.0878363999999999	0.043498630000000094
0.00137617	-0.000999137	3.6811e-05	-0.015892	0.0394205	-0.0924642	0.0549853500000001
